전체기관,2015 대출 건수,2015 부실 건수,2016 대출 건수,2016 부실 건수,2017 대출 건수,2017 부실 건수,2018 대출 건수,2018 부실 건수,2019 대출 건수,2019 부실 건수,2020 대출 건수,2020 부실 건수,2021 대출 건수,2021 부실 건수,2022 대출 건수,2022 부실 건수,2023 대출 건수,2023 부실 건수,2024 대출 건수,2024 부실 건수
First City Monument Bank Ltd Lagos,0,0,2,0,0,0,0,0,0,0,0,0,4,0,3,0,8,0,12,0
Polaris Bank Limited Lagos,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,6,0,6,0
Arve Limited,0,0,0,0,0,0,0,0,0,0,0,0,20,1,50,0,74,0,14,0
Access Bank Plc Lagos,0,0,1,0,1,0,2,0,34,0,28,0,40,0,16,2,25,2,18,0
Guaranty Trust Bank Plc,0,0,0,0,0,0,1,0,9,0,15,0,24,1,35,3,29,1,39,0
BetterLending Company Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,15,0
Credit Direct Ltd Lagos,12,0,4,0,10,0,11,0,17,1,5,0,6,1,11,2,7,0,9,0
Zedvance Limited Lagos,0,0,0,0,0,0,0,0,16,1,41,2,7,0,6,0,5,1,1,0
NewEdge Finance,0,0,0,0,0,0,0,0,39,5,52,5,133,16,78,7,80,18,24,1
MIM Finance Company Limited,0,0,0,0,0,0,0,0,0,0,0,0,4,2,48,5,0,0,0,0
MYCREDIT INVESTMENTS LIMITED,0,0,0,0,1,0,21,0,122,10,106,9,106,19,14,10,12,11,0,0
Fairmoney Microfinance Bank Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,54,2,67,1
Carbon Microfinance Bank Limited,0,0,20,4,18,0,66,3,74,4,62,2,64,1,41,2,10,0,1,1
Aella Financial Solution Ltd,0,0,0,0,6,0,56,0,82,0,71,0,30,0,23,0,3,0,12,0
ALTRACRED FINANCE INVESTMENT LIMITED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,26,7,32,0
CashXpress Nigeria Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,17
RenMoney MFB Nigeria Limited Lagos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLUERIDGE MICROFINANCE BANK LIMITED,0,0,0,0,0,0,0,0,0,0,28,27,21,21,21,19,33,28,72,17
BRANCH INTERNATIONAL FINANCIAL SERVICE LIMITED,0,0,0,0,0,0,7,3,9,8,3,3,11,11,7,7,1,1,6,6
