전체기관,2015 부실률,2016 부실률,2017 부실률,2018 부실률,2019 부실률,2020 부실률,2021 부실률,2022 부실률,2023 부실률,2024 부실률
NewEdge Finance,0,0,0,0,0.12,0.09,0.12,0.08,0.22,0.04
MYCREDIT INVESTMENTS LIMITED,0,0,0.00,0.00,0.08,0.08,0.17,0.71,0.91,0
Carbon Microfinance Bank Limited,0,0.20,0.00,0.04,0.05,0.03,0.01,0.04,0.00,1.00
Aella Financial Solution Ltd,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MyCredit Invest,0,0,0.00,0.50,0.26,0.39,0.38,0.02,0.03,0
BLUERIDGE MICROFINANCE BANK LIMITED,0,0,0,0,0,0.96,1.00,0.90,0.84,0.23
Access Bank Plc Lagos,0,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.08,0.00
Arve Limited,0,0,0,0,0,0,0.05,0.00,0.00,0.00
Guaranty Trust Bank Plc,0,0,0,0.00,0.00,0.00,0.04,0.08,0.03,0.00
Fairmoney Microfinance Bank Limited,0,0,0,0,0,0,0,0.50,0.03,0.01
Credit Direct Ltd Lagos,0.00,0.00,0.00,0.00,0.05,0.00,0.16,0.18,0.00,0.00
RenMoney MFB Nigeria Limited  Lagos,0,0,0.66,0.75,0.00,0,0.50,1.00,0.40,0.02
Zedvance Limited Lagos,0,0,0,0,0.06,0.04,0.00,0.00,0.20,0.00
ALTRACRED FINANCE INVESTMENT LIMITED,0,0,0,0,0,0,0,1.00,0.26,0.00
MyCredit Investments Limited,0,0,0.00,0.00,0.00,0.06,0.20,0.00,0.00,0
NewEdge Finance Limited,0,0,0,0,0.00,0.00,0.00,0.00,0.50,0
AELLA FINANCIAL SOLUTIONS LIMITED,0,0,0,1.00,1.00,1.00,1.00,1.00,1.00,0.25
CashXpress Nigeria Limited,0,0,0,0,0,0,0,0,0,0.30
BetterLending Company Limited,0,0,0,0,0,0,0,0,0.05,0.00
MIM Finance Company Limited,0,0,0,0,0,0,0.50,0.10,0,0
CARBON FINANCE AND INVESTMENT LIMITED,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
BRANCH INTERNATIONAL FINANCIAL SERVICE LIMITED,0,0,0,0.42,0.88,1.00,1.00,1.00,1.00,1.00
Access Bank Plc,0,0,0,0,0,0.00,0.00,0.00,0.20,0.00
Branch International Financial Services Limited,0,0,0,0.50,0.42,0.25,0.50,0.80,0.66,0
RENMONEY MICROFINANCE BANK LIMITED,0,0,1.00,1.00,0,0,1.00,1.00,1.00,0.00
FAIRMONEY MICROFINANCE BANK LIMITED,0,0,0,0,0,0,0,1.00,1.00,0.45
First City Monument Bank Ltd Lagos,0,0.00,0,0,0,0,0.00,0.00,0.00,0.00
Zedvance Limited,0,0,0,0.00,0.00,0.05,0.00,0,0.00,0
Polaris Bank Limited Lagos,0,0,0,0,0,0,0.00,0.00,0.00,0.00
Crednet Technologies Limited (CredPal),0,0,0,0,0,0,0.14,0.00,0.00,0
